,sample,log_conc_truesoil,acronym
432,448,7.96260887,Arch_16S
433,455,8.32662497,Arch_16S
434,505,7.581529864,Arch_16S
435,512,8.340473581,Arch_16S
436,519,7.978401573,Arch_16S
437,526,7.827588364,Arch_16S
438,511,8.310632974,Arch_16S
439,233,8.679183342,Arch_16S
440,240,8.726150743,Arch_16S
441,247,8.62747227,Arch_16S
442,430,7.469630043,Arch_16S
443,437,7.806475044,Arch_16S
444,232,8.563607989,Arch_16S
445,239,8.221186524,Arch_16S
446,253,8.836133544,Arch_16S
447,627,7.818777524,Arch_16S
448,613,8.128325843,Arch_16S
449,206,8.561690647,Arch_16S
450,213,8.528419742,Arch_16S
451,301,8.607829943,Arch_16S
452,229,8.541579886,Arch_16S
453,315,8.284400944,Arch_16S
454,322,8.469720744,Arch_16S
455,409,7.599467181,Arch_16S
456,629,7.813824924,Arch_16S
457,423,7.609932614,Arch_16S
458,650,7.113712324,Arch_16S
459,306,8.684709886,Arch_16S
460,432,7.818788343,Arch_16S
461,439,6.934738424,Arch_16S
462,530,8.335126719,Arch_16S
463,537,7.570775551,Arch_16S
464,544,8.076956555,Arch_16S
465,551,8.004634074,Arch_16S
466,513,8.283468684,Arch_16S
467,520,7.960259496,Arch_16S
468,527,7.641081196,Arch_16S
469,745,8.257962504,Arch_16S
470,752,8.292745807,Arch_16S
471,732,8.276239683,Arch_16S
472,739,8.066386559,Arch_16S
473,746,8.384592246,Arch_16S
474,753,8.177698376,Arch_16S
475,556,7.768124956,Arch_16S
476,713,8.436370717,Arch_16S
477,605,8.170422943,Arch_16S
478,619,7.687544443,Arch_16S
479,630,8.18299957,Arch_16S
480,644,8.432482664,Arch_16S
481,604,7.937639924,Arch_16S
482,611,8.063942043,Arch_16S
483,618,7.89079617,Arch_16S
484,625,8.143172824,Arch_16S
485,305,8.658210124,Arch_16S
486,312,7.858443589,Arch_16S
487,319,8.473095324,Arch_16S
488,516,7.864403718,Arch_16S
489,648,8.125484061,Arch_16S
490,303,8.689891143,Arch_16S
491,310,7.888159189,Arch_16S
492,317,8.666990343,Arch_16S
493,426,7.807349243,Arch_16S
494,309,7.534082044,Arch_16S
495,401,8.28396027,Arch_16S
496,408,7.604668374,Arch_16S
497,415,7.599467181,Arch_16S
498,327,8.625549486,Arch_16S
499,522,7.358345069,Arch_16S
500,735,8.042103396,Arch_16S
501,742,8.128753774,Arch_16S
502,749,8.575847206,Arch_16S
503,756,8.074405213,Arch_16S
504,652,8.164574043,Arch_16S
505,601,7.849779293,Arch_16S
506,705,8.445520898,Arch_16S
507,712,8.559275764,Arch_16S
508,719,8.309983064,Arch_16S
509,524,8.059701475,Arch_16S
510,514,7.967661784,Arch_16S
511,706,8.461185294,Arch_16S
512,518,7.432059539,Arch_16S
513,720,8.520465206,Arch_16S
514,204,8.810862942,Arch_16S
515,733,8.239400325,Arch_16S
516,740,8.670467658,Arch_16S
517,225,8.560862542,Arch_16S
518,736,8.172053775,Arch_16S
519,743,8.160816574,Arch_16S
520,750,8.479770507,Arch_16S
521,634,7.001235743,Arch_16S
522,641,8.000925539,Arch_16S
523,236,8.933019724,Arch_16S
524,402,7.589248016,Arch_16S
525,406,8.34062671,Arch_16S
526,420,8.435369544,Arch_16S
527,427,7.339016903,Arch_16S
528,302,8.752868343,Arch_16S
529,324,8.704011724,Arch_16S
530,316,8.554249443,Arch_16S
531,323,8.519714789,Arch_16S
532,515,7.945438637,Arch_16S
533,453,8.098610243,Arch_16S
534,351,8.28968547,Arch_16S
535,635,8.49186741,Arch_16S
536,539,8.067300455,Arch_16S
537,433,7.97251407,Arch_16S
538,533,7.886869937,Arch_16S
539,540,7.659869178,Arch_16S
540,503,8.074436567,Arch_16S
541,510,8.402761248,Arch_16S
542,517,8.342469512,Arch_16S
543,549,8.06792193,Arch_16S
544,716,8.182276016,Arch_16S
545,254,8.65551271,Arch_16S
546,304,8.719721144,Arch_16S
547,311,7.987311286,Arch_16S
548,318,8.718517143,Arch_16S
549,325,8.560663886,Arch_16S
550,451,7.504366444,Arch_16S
551,428,7.702470444,Arch_16S
552,724,8.352937843,Arch_16S
553,332,8.665843724,Arch_16S
554,339,8.539889324,Arch_16S
555,220,8.805137742,Arch_16S
556,248,8.703249943,Arch_16S
557,243,8.621950524,Arch_16S
558,416,7.98757271,Arch_16S
559,405,8.23434187,Arch_16S
560,412,8.09502867,Arch_16S
561,647,8.016278407,Arch_16S
562,636,8.119209493,Arch_16S
563,452,8.00736931,Arch_16S
564,330,8.744530344,Arch_16S
565,446,7.427601144,Arch_16S
566,532,7.979131065,Arch_16S
567,707,8.193200401,Arch_16S
568,546,7.987855521,Arch_16S
569,553,8.120143536,Arch_16S
570,731,8.097942209,Arch_16S
571,649,8.504100743,Arch_16S
572,244,8.87747267,Arch_16S
573,639,8.424711544,Arch_16S
574,542,7.92808357,Arch_16S
575,751,8.183362034,Arch_16S
576,350,8.665081943,Arch_16S
577,507,7.541205766,Arch_16S
578,703,8.626608997,Arch_16S
579,207,8.52558872,Arch_16S
580,612,8.420529243,Arch_16S
581,528,8.157031377,Arch_16S
582,626,8.088705043,Arch_16S
583,651,8.70137107,Arch_16S
584,754,7.998792303,Arch_16S
