"ID","timepoint","treatment","location","date","pH","gwc","mg_kg_NO3N"
"656",5,"Brachiaria + Desmodium","Karama","1/19/21",5.94,"0.132093023",10.5535409429853
"701",6,"maize monoculture","Rubona","2/11/21",5.16,"0.115238095",1.87094267239122
"702",6,"Napier grass","Rubona","2/11/21",5.99,"0.116037736",7.55576369457169
"703",6,"Brachiaria cv. Mulato II","Rubona","2/11/21",5.65,"0.138548539",4.11526699873874
"704",6,"Desmodium distortum","Rubona","2/11/21",5.61,"0.123062899",9.04378252466799
"705",6,"Maize + Desmodium","Rubona","2/11/21",5.39,"0.125803489",7.8194622657187
"706",6,"Napier + Desmodium","Rubona","2/11/21",5.29,"0.138418079",9.02061753983946
"707",6,"Brachiaria + Desmodium","Rubona","2/11/21",5.51,"0.141491396",2.67893187716479
"708",6,"maize monoculture","Rubona","2/11/21",5.45,"0.112714157",1.5925812209818
"709",6,"Napier grass","Rubona","2/11/21",5.65,"0.125564589",2.52087966176735
"710",6,"Brachiaria cv. Mulato II","Rubona","2/11/21",5.55,"0.127697842",5.23121042176889
"711",6,"Desmodium distortum","Rubona","2/11/21",5.31,"0.131509267",8.82733920618865
"712",6,"Maize + Desmodium","Rubona","2/11/21",5.44,"0.128916741",3.86580712761753
"713",6,"Napier + Desmodium","Rubona","2/11/21",5.6,"0.127984718",2.90356419115827
"714",6,"Brachiaria + Desmodium","Rubona","2/11/21",5.44,"0.136078782",8.38545628729048
"715",6,"maize monoculture","Rubona","2/11/21",5.33,"0.14",6.19918979941122
"716",6,"Napier grass","Rubona","2/11/21",5.34,"0.151140684",1.18457438077989
"717",6,"Brachiaria cv. Mulato II","Rubona","2/11/21",5.74,"0.132162662",4.9849277566672
"718",6,"Desmodium distortum","Rubona","2/11/21",5.34,"0.146364495",2.96611259219095
"719",6,"Maize + Desmodium","Rubona","2/11/21",5.39,"0.132606721",7.10026603915513
"720",6,"Napier + Desmodium","Rubona","2/11/21",5.42,"0.147675479",8.05574939955209
"721",6,"Brachiaria + Desmodium","Rubona","2/11/21",5.54,"0.138760407",1.14832371135165
"722",6,"maize monoculture","Rubona","2/11/21",5.05,"0.119161106",8.75599128777806
"723",6,"Napier grass","Rubona","2/11/21",5.29,"0.1272052",3.05243031780136
"724",6,"Brachiaria cv. Mulato II","Rubona","2/11/21",5.35,"0.122467772",7.03921001575141
