sample,auc_dea,log_auc_dea,mmol_kg_hr,treatment,location,timepoint
439,6.040733042579999,2.0845202534849863,9.1463,Desmodium distortum,Karama,3
440,5.4527354408137505,2.0085811382634517,6.397,Maize + Desmodium,Karama,3
441,2.19466348590375,1.4338131188001708,2.5515,Napier + Desmodium,Karama,3
442,1.0624264582499998,1.1192075619498605,1.5527,Brachiaria + Desmodium,Karama,3
443,1.1023071639375,1.1321460811085133,1.5871,maize monoculture,Karama,3
444,7.484974174987501,2.249708880661869,11.652000000000001,Napier grass,Karama,3
445,2.9546448914625003,1.6003254985058992,3.203,Brachiaria cv. Mulato II,Karama,3
446,3.4165143450000004,1.6894524987891595,4.5171,Desmodium distortum,Karama,3
447,5.404364834849999,2.0020696688686805,6.9749,Maize + Desmodium,Karama,3
448,1.705821941625,1.3099050807361765,2.072,Napier + Desmodium,Karama,3
449,17.3025556583625,2.960237504676148,10.042,Brachiaria + Desmodium,Karama,3
450,5.2083587771249995,1.97524129391817,5.5257,maize monoculture,Karama,3
451,23.02727343795,3.219966167746304,16.904,Napier grass,Karama,3
452,5.046982398299999,1.9525994965838547,6.2803,Brachiaria cv. Mulato II,Karama,3
453,13.793356576875,2.7595893817926624,19.036,Desmodium distortum,Karama,3
454,4.4004059756625,1.85636142205106,5.1723,Maize + Desmodium,Karama,3
455,30.510732283687503,3.4815702589371713,25.427,Napier + Desmodium,Karama,3
456,4.358473913587501,1.849788397865468,4.9495000000000005,Brachiaria + Desmodium,Karama,3
501,1.349105499494625,1.208693295105871,1.5028,maize monoculture,Rubona,4
502,2.5902733277085,1.5239395708198815,2.5373,Napier grass,Rubona,4
503,2.7817821394653754,1.5648133095427266,2.8609,Brachiaria cv. Mulato II,Rubona,4
504,1.929183557178375,1.368431658033881,2.2241999999999997,Desmodium distortum,Rubona,4
505,1.34443395816975,1.2072974589827234,1.4548,Maize + Desmodium,Rubona,4
506,1.4033202269437501,1.2247514924561178,1.6303,Napier + Desmodium,Rubona,4
507,1.9518843004788753,1.3741925032624487,2.1514,Brachiaria + Desmodium,Rubona,4
508,0.6124612540845,0.9602927862085092,0.9056900000000001,maize monoculture,Rubona,4
509,1.4403413190206251,1.2355706871087948,1.6878,Napier grass,Rubona,4
510,1.25253059719875,1.1794333386465934,1.4954,Brachiaria cv. Mulato II,Rubona,4
511,1.5470422554885,1.2661140887423747,1.6636,Desmodium distortum,Rubona,4
512,2.255064471171375,1.4481099137722118,1.966,Maize + Desmodium,Rubona,4
513,2.9690402462655,1.603226712057196,2.6037,Napier + Desmodium,Rubona,4
514,2.3236885262310003,1.4641088634708,2.4255999999999998,Brachiaria + Desmodium,Rubona,4
515,1.9258303069751253,1.3675778720406444,2.142,maize monoculture,Rubona,4
516,4.2470028509999995,1.8321018048903905,4.3743,Napier grass,Rubona,4
517,4.7109540317625,1.9037411214674247,4.7111,Brachiaria cv. Mulato II,Rubona,4
518,4.4609801137125,1.8657810266750683,4.2812,Desmodium distortum,Rubona,4
519,3.5869174650374998,1.7204276976880126,2.8623000000000003,Maize + Desmodium,Rubona,4
520,6.9985912055625,2.1970680323684175,6.387300000000001,Napier + Desmodium,Rubona,4
521,3.6190673558625,1.7261656992200771,3.4518000000000004,Brachiaria + Desmodium,Rubona,4
522,1.654557515775,1.2959750231576015,1.539,maize monoculture,Rubona,4
523,2.6748538958625003,1.5421979100303644,2.5220000000000002,Napier grass,Rubona,4
524,3.125797341975,1.6342860918452777,2.9768000000000003,Brachiaria cv. Mulato II,Rubona,4
525,1.99483740435,1.385002878602745,1.9749,Desmodium distortum,Rubona,4
526,9.986585879925,2.483788181195551,3.9805,Maize + Desmodium,Rubona,4
527,2.7115377793875,1.550014347180228,2.6105,Napier + Desmodium,Rubona,4
528,2.14420818255,1.4217117407971749,2.1109,Brachiaria + Desmodium,Rubona,4
529,0.6905754860250001,0.9897551060581282,0.6687000000000001,maize monoculture,Karama,4
530,4.064025516075,1.802373856127227,3.8661,Napier grass,Karama,4
531,1.9749439293,1.380010642170329,1.8600999999999999,Brachiaria cv. Mulato II,Karama,4
532,3.022566291,1.6139410164252248,3.4741999999999997,Desmodium distortum,Karama,4
533,1.0853241752625,1.126656732959083,1.0485,Maize + Desmodium,Karama,4
534,6.253321653412501,2.110615743971093,6.885,Napier + Desmodium,Karama,4
535,2.5793746996875,1.5215624603527251,2.9588,Brachiaria + Desmodium,Karama,4
536,11.260828321537499,2.584814450494286,15.76,maize monoculture,Karama,4
537,2.039235123825,1.3960553482627784,1.583,Napier grass,Karama,4
538,3.2722014825375005,1.662448013946701,3.4264,Brachiaria cv. Mulato II,Karama,4
539,1.088547219225,1.1277008247612452,1.1509,Desmodium distortum,Karama,4
540,4.527654984675,1.8760477646528246,5.1724,Maize + Desmodium,Karama,4
541,3.290175468,1.6658514150743573,4.2275,Napier + Desmodium,Karama,4
542,1.805984477775,1.336574690509099,2.3724000000000003,Brachiaria + Desmodium,Karama,4
