"","ID","NP","location","auc_np","pH","treatment","gwc","block","timepoint"
"254","631",-0.030858,"Karama",454.784308625434,6.06,"Brachiaria cv. Mulato II",0.135359116,1,5
"255","632",-0.031633,"Karama",416.569203519943,6.13,"Desmodium distortum",0.13320647,1,5
"256","633",-0.04016,"Karama",392.430847158079,6.16,"Maize + Desmodium",0.134191176,1,5
"257","634",0.19488,"Karama",399.70877219476,6.34,"Napier + Desmodium",0.130761994,1,5
"258","635",-0.016799,"Karama",353.107865228876,6.09,"Brachiaria + Desmodium",0.131477927,1,5
"259","636",-0.029534,"Karama",408.840319846986,5.85,"maize monoculture",0.13253012,2,5
"260","637",-0.033605,"Karama",237.524314866416,6.77,"Napier grass",0.132518797,2,5
"261","638",0.17911,"Karama",340.378776597279,6.45,"Brachiaria cv. Mulato II",0.142311366,2,5
"262","639",-0.037734,"Karama",489.271621205678,6.21,"Desmodium distortum",0.142722117,2,5
"263","640",0.056181,"Karama",512.953365227072,5.96,"Maize + Desmodium",0.145235893,2,5
"264","641",0.016717,"Karama",432.997911371452,6.25,"Napier + Desmodium",0.142206016,2,5
"265","642",0.093653,"Karama",317.848856042208,5.93,"Brachiaria + Desmodium",0.135234591,2,5
"266","643",0.088015,"Karama",511.482028030403,6.22,"maize monoculture",0.139745917,3,5
"267","644",0.092976,"Karama",368.379073164934,6.15,"Napier grass",0.13562387,3,5
"268","645",0.029519,"Karama",449.251312910866,6.15,"Brachiaria cv. Mulato II",0.159366263,3,5
"269","646",0.013094,"Karama",397.191032468092,5.85,"Desmodium distortum",0.130434783,3,5
"270","647",0.067789,"Karama",396.493521175929,6.19,"Maize + Desmodium",0.127134725,3,5
"271","648",0.063472,"Karama",493.669192770778,6.25,"Napier + Desmodium",0.161230196,3,5
"272","649",0.18137,"Karama",353.297739577775,6.29,"Brachiaria + Desmodium",0.132246377,3,5
"273","650",0.037217,"Karama",353.736374244093,6.31,"maize monoculture",0.119536128,4,5
"274","651",0.12983,"Karama",327.827618556305,6.49,"Napier grass",0.150837989,4,5
"275","652",-0.021082,"Karama",499.655024968769,6.47,"Brachiaria cv. Mulato II",0.16462841,4,5
"276","653",0.046501,"Karama",446.273336596396,6.48,"Desmodium distortum",0.124882629,4,5
"277","654",0.031724,"Karama",427.35352597415,6.25,"Maize + Desmodium",0.139194139,4,5
"278","655",0.08796,"Karama",550.542005853006,6.11,"Napier + Desmodium",0.165085389,4,5
"279","656",0.02429,"Karama",347.654813843644,5.94,"Brachiaria + Desmodium",0.132093023,4,5
"280","701",0.13851,"Rubona",10.6483367056246,5.16,"maize monoculture",0.193913043,1,6
"281","702",0.059745,"Rubona",313.806139932679,5.99,"Napier grass",0.164939551,1,6
"282","703",0.14347,"Rubona",64.985692729586,5.65,"Brachiaria cv. Mulato II",0.168674699,1,6
"283","704",0.10503,"Rubona",356.448655574392,5.61,"Desmodium distortum",0.153782211,1,6
"284","705",0.069668,"Rubona",292.511790503644,5.39,"Maize + Desmodium",0.152052239,1,6
"285","706",0.082355,"Rubona",443.465135369353,5.29,"Napier + Desmodium",0.16462841,1,6
"286","707",0.10558,"Rubona",164.993779482528,5.51,"Brachiaria + Desmodium",0.168007149,1,6
"287","708",0.087977,"Rubona",1.42797129827714,5.45,"maize monoculture",0.179063361,2,6
"288","709",0.16361,"Rubona",37.1860838689103,5.65,"Napier grass",0.177756654,2,6
"289","710",0.13046,"Rubona",182.597245926604,5.55,"Brachiaria cv. Mulato II",0.148722628,2,6
"290","711",0.088095,"Rubona",277.79899939657,5.31,"Desmodium distortum",0.14571949,2,6
"291","712",0.090143,"Rubona",-8.0330599997288,5.44,"Maize + Desmodium",0.176735798,2,6
