sample,gwc,pH,timepoint,date,location,treatment,block
651,0.15,6.49,5,1/19/21,Karama,Napier grass,4
652,0.16,6.47,5,1/19/21,Karama,Brachiaria cv. Mulato II,4
653,0.12,6.48,5,1/19/21,Karama,Desmodium distortum,4
654,0.14,6.25,5,1/19/21,Karama,Maize + Desmodium,4
655,0.17,6.11,5,1/19/21,Karama,Napier + Desmodium,4
656,0.13,5.94,5,1/19/21,Karama,Brachiaria + Desmodium,4
701,0.193913043,5.16,6,2/11/21,Rubona,maize monoculture,1
702,0.164939551,5.99,6,2/11/21,Rubona,Napier grass,1
703,0.168674699,5.65,6,2/11/21,Rubona,Brachiaria cv. Mulato II,1
704,0.153782211,5.61,6,2/11/21,Rubona,Desmodium distortum,1
705,0.152052239,5.39,6,2/11/21,Rubona,Maize + Desmodium,1
706,0.16462841,5.29,6,2/11/21,Rubona,Napier + Desmodium,1
707,0.168007149,5.51,6,2/11/21,Rubona,Brachiaria + Desmodium,1
708,0.179063361,5.45,6,2/11/21,Rubona,maize monoculture,2
709,0.177756654,5.65,6,2/11/21,Rubona,Napier grass,2
710,0.148722628,5.55,6,2/11/21,Rubona,Brachiaria cv. Mulato II,2
711,0.14571949,5.31,6,2/11/21,Rubona,Desmodium distortum,2
712,0.176735798,5.44,6,2/11/21,Rubona,Maize + Desmodium,2
713,0.159235669,5.6,6,2/11/21,Rubona,Napier + Desmodium,2
714,0.159498208,,6,2/11/21,Rubona,Brachiaria + Desmodium,2
715,0.167408727,5.33,6,2/11/21,Rubona,maize monoculture,3
716,0.156669651,5.34,6,2/11/21,Rubona,Napier grass,3
717,0.184021544,5.74,6,2/11/21,Rubona,Brachiaria cv. Mulato II,3
718,0.182882883,5.34,6,2/11/21,Rubona,Desmodium distortum,3
719,0.1776028,5.39,6,2/11/21,Rubona,Maize + Desmodium,3
720,0.16146789,5.42,6,2/11/21,Rubona,Napier + Desmodium,3
721,0.163179916,5.54,6,2/11/21,Rubona,Brachiaria + Desmodium,3
722,0.157798165,5.05,6,2/11/21,Rubona,maize monoculture,4
723,0.155060353,5.29,6,2/11/21,Rubona,Napier grass,4
724,0.14986124,5.35,6,2/11/21,Rubona,Brachiaria cv. Mulato II,4
725,0.140611354,5.22,6,2/11/21,Rubona,Desmodium distortum,4
726,0.174872666,5.21,6,2/11/21,Rubona,Maize + Desmodium,4
727,0.142218247,5.26,6,2/11/21,Rubona,Napier + Desmodium,4
728,0.136067102,5.78,6,2/10/21,Rubona,Brachiaria + Desmodium,4
729,0.101754386,5.88,6,2/10/21,Karama,maize monoculture,1
730,0.117050691,5.99,6,2/10/21,Karama,Napier grass,1
731,0.158362989,6.06,6,2/10/21,Karama,Brachiaria cv. Mulato II,1
